centrality xT U_xT err
6 0.2289282 0.79539752 0.08478939
6 0.27055151 0.84134267 0.08530245
6 0.31217482 0.87255391 0.08814454
6 0.35379813 0.86961988 0.0877756
6 0.39542144 0.8563955 0.08653858
6 0.46826223 0.81553174 0.07253221
6 0.5723205 0.74523205 0.06631246
6 0.67637877 0.66645451 0.0600202
6 0.78043704 0.59142954 0.05236001
6 0.88449532 0.52137435 0.04590559
6 0.98855359 0.45395021 0.03993169
6 1.09261186 0.39268115 0.03283506
6 1.19667014 0.34279207 0.02864962
6 1.30072841 0.30390028 0.02576308
6 1.40478668 0.266172 0.02248025
6 1.50884495 0.23414274 0.01980563
6 1.61290323 0.20558754 0.0174179
6 1.7169615 0.18056062 0.01527775
6 1.82101977 0.15812913 0.01336339
6 1.92507804 0.140635 0.01190155
6 2.02913632 0.12358948 0.01044747
6 2.18522373 0.10159704 0.00855369
6 2.39334027 0.07934096 0.00667308
6 2.60145682 0.06242779 0.00549146
6 2.80957336 0.04917875 0.00433595
6 3.01768991 0.03821814 0.00337799
6 3.22580645 0.03036111 0.00269227
6 3.433923 0.02420923 0.00215846
6 3.64203954 0.01895689 0.00169846
6 3.85015609 0.01549719 0.00139865
6 4.05827263 0.01240041 0.00112989
6 4.26638918 0.00979795 0.00090021
6 4.47450572 0.00808084 0.00075219
6 4.68262227 0.00646666 0.00060809
6 4.89073881 0.00535858 0.00051059
6 5.09885536 0.0044198 0.00043189
6 5.3069719 0.00371432 0.00036952
6 5.51508845 0.0030695 0.00031321
6 5.72320499 0.00251529 0.00025912
6 5.93132154 0.00202869 0.00021218
6 6.13943809 0.0018377 0.00019958
7 0.23529412 0.80686507 0.08290344
7 0.27807487 0.86584308 0.08406334
7 0.32085561 0.87317861 0.08453887
7 0.36363636 0.88399535 0.08548093
7 0.40641711 0.87335724 0.08446025
7 0.48128342 0.81586975 0.06997264
7 0.58823529 0.7392297 0.06327232
7 0.69518717 0.65896753 0.05718243
7 0.80213904 0.57517255 0.04908224
7 0.90909091 0.5055981 0.04295874
7 1.01604278 0.43630152 0.03712637
7 1.12299465 0.37479994 0.03012562
7 1.22994652 0.3255431 0.02615708
7 1.3368984 0.28555193 0.02336995
7 1.44385027 0.24939625 0.02039453
7 1.55080214 0.21903297 0.01795655
7 1.65775401 0.18897832 0.01546977
7 1.76470588 0.16793133 0.01375196
7 1.87165775 0.14594656 0.01193497
7 1.97860963 0.12880451 0.01055874
7 2.0855615 0.11266177 0.00922293
7 2.2459893 0.0924444 0.00754544
7 2.45989305 0.07159529 0.00584233
7 2.67379679 0.056381 0.00481169
7 2.88770053 0.04434902 0.00379093
7 3.10160428 0.03442481 0.0029514
7 3.31550802 0.02735463 0.00235479
7 3.52941176 0.02196075 0.00190217
7 3.74331551 0.01706067 0.00148562
7 3.95721925 0.01401796 0.00122989
7 4.17112299 0.01129017 0.00100063
7 4.38502674 0.00898121 0.00080348
7 4.59893048 0.00746666 0.00067718
7 4.81283422 0.00602056 0.00055185
7 5.02673797 0.00505775 0.00047023
7 5.24064171 0.00415166 0.00039673
7 5.45454545 0.00346479 0.00033737
7 5.6684492 0.00289799 0.00029031
7 5.88235294 0.00238841 0.00024166
7 6.09625668 0.00194944 0.0002008
7 6.31016043 0.0017306 0.00018516
8 0.24255788 0.84885276 0.09558124
8 0.28665932 0.86946722 0.09335141
8 0.33076075 0.87688742 0.0939176
8 0.37486218 0.8734865 0.0934106
8 0.41896362 0.88099026 0.0942589
8 0.49614112 0.81897976 0.08060358
8 0.60639471 0.73487578 0.07221576
8 0.71664829 0.64417049 0.06388116
8 0.82690187 0.56165416 0.05521481
8 0.93715546 0.48504141 0.04748421
8 1.04740904 0.41699782 0.04079754
8 1.15766262 0.35595663 0.03347172
8 1.26791621 0.30870507 0.02901106
8 1.37816979 0.26833474 0.02563207
8 1.48842337 0.23435681 0.02242571
