centrality xT U_xT err
3 3.87761508 0.0139399359 0.00182711391
3 4.24691176 0.00938956521 0.00120936172
3 4.61620843 0.00643127858 0.00078072921
3 4.98550511 0.00442765866 0.000519536207
3 5.35480178 0.00302820838 0.000360621168
3 5.72409845 0.00217379246 0.000267833277
3 6.09339513 0.00154386218 0.000194294048
3 6.4626918 0.00110904024 0.000158201018
3 6.83198848 0.000854504747 0.000133054832
3 7.20128515 0.000651389031 0.000118962787
3 7.84755433 0.0004167768 8.47125165e-05
3 8.77079602 0.000217328487 4.96255391e-05
4 0.1225652 0.570861837 0.0725616536
4 0.16970565 0.699086472 0.0848579398
4 0.24513039 0.791561842 0.0585777684
4 0.33941131 0.83597144 0.0651546631
4 0.42426414 0.814200581 0.0685811532
4 0.51854506 0.754169146 0.0655619293
4 0.61282598 0.694894797 0.0584113252
4 0.7071069 0.632776756 0.0520853155
4 0.80138782 0.5720067 0.0466959343
4 0.89566873 0.506694123 0.0364236894
4 0.98994965 0.448804688 0.0333781214
4 1.08423057 0.396639568 0.0320721916
4 1.17851149 0.357178732 0.0271816176
4 1.27279241 0.319841432 0.0241971017
4 1.36707333 0.284332219 0.0226388694
4 1.46135425 0.253457854 0.0229651812
4 1.55563517 0.227347596 0.0187956557
4 1.64991609 0.201902097 0.0188442047
4 1.74419701 0.181181926 0.0172562674
4 1.83847793 0.159427686 0.0135555509
4 1.97989931 0.132706219 0.0114527376
4 2.16846115 0.105687457 0.00913174458
4 2.35702299 0.0846903033 0.00726232836
4 2.54558482 0.0663854242 0.00566922252
4 2.73414666 0.0532324277 0.00453973354
4 2.9227085 0.0429471279 0.00372344177
4 3.11127034 0.0338288496 0.00312420187
4 3.29983218 0.0277315318 0.00280334382
4 3.48839402 0.0220736937 0.00248214877
4 3.67695586 0.0181529078 0.00227642213
4 3.95979862 0.0133287883 0.0017642562
4 4.33692229 0.00888856716 0.00115607832
4 4.71404597 0.00615640745 0.000756057472
4 5.09116965 0.00436506646 0.000518615014
4 5.46829333 0.00303647163 0.000366139413
4 5.845417 0.00216785313 0.000270466559
4 6.22254068 0.00153804933 0.000196093188
4 6.59966436 0.00115695774 0.000166856746
4 6.97678804 0.000881710556 0.000138443925
4 7.35391172 0.000670741884 0.000123395378
4 8.01387815 0.000428732658 8.76127373e-05
4 8.95668735 0.000232407151 5.3413064e-05
5 0.12467871 0.572479152 0.0756989017
5 0.17263206 0.71098815 0.0875294315
5 0.24935743 0.813608523 0.0629802461
5 0.34526413 0.847815314 0.0697755029
5 0.43158016 0.815603919 0.0732786394
5 0.52748686 0.750183432 0.0693269656
5 0.62339356 0.689979479 0.0614372719
5 0.71930026 0.625385656 0.0547150999
5 0.81520697 0.560620798 0.0488808916
5 0.91111367 0.492634801 0.0372000549
5 1.00702037 0.436022562 0.0338013573
5 1.10292707 0.382061349 0.0327944262
5 1.19883377 0.345859162 0.0275260371
5 1.29474048 0.308858817 0.0248462725
5 1.39064718 0.271812862 0.0241238522
5 1.48655388 0.240981141 0.020155782
5 1.58246058 0.214955474 0.0186990789
5 1.67836728 0.193188553 0.0195566724
5 1.77427399 0.174329209 0.0180959559
5 1.87018069 0.149338298 0.0131449166
5 2.01404074 0.125176901 0.0111687418
5 2.20585415 0.0999237375 0.00892701424
5 2.39766755 0.0792029739 0.00702685373
5 2.58948095 0.0624131407 0.00551666984
5 2.78129436 0.0498934552 0.00440463152
5 2.97310776 0.0398366586 0.00357199186
5 3.16492116 0.0322313488 0.00306518072
5 3.35673457 0.0255188362 0.0026503404
5 3.54854797 0.0213393364 0.00245095356
